aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,32,0,32,32,3.125,32,N1,L4+7,control,C1_N1_D2,80857.812
2,0.098,31,0,31,31,3.027,31,N1,L4+7,control,C1_N1_D2,80857.812
3,0.098,31,0,31,31,3.027,31,N1,L4+7,control,C1_N1_D2,80857.812
4,2.051,43.19,11.927,30,66,88.574,907,N1,L4+7,control,C1_N1_D2,80857.812
5,0.684,41.286,8.341,31,52,28.223,289,N1,L4+7,control,C1_N1_D2,80857.812
6,0.293,34,3.606,30,37,9.961,102,N1,L4+7,control,C1_N1_D2,80857.812
7,0.195,37,4.243,34,40,7.227,74,N1,L4+7,control,C1_N1_D2,80857.812
8,0.684,52,10.066,34,62,35.547,364,N1,L4+7,control,C1_N1_D2,80857.812
9,0.098,39,0,39,39,3.809,39,N1,L4+7,control,C1_N1_D2,80857.812
10,0.488,42.8,13.989,31,64,20.898,214,N1,L4+7,control,C1_N1_D2,80857.812
11,0.488,39.2,5.167,31,44,19.141,196,N1,L4+7,control,C1_N1_D2,80857.812
12,0.879,41.778,10.639,31,60,36.719,376,N1,L4+7,control,C1_N1_D2,80857.812
13,0.098,31,0,31,31,3.027,31,N1,L4+7,control,C1_N1_D2,80857.812
14,0.098,34,0,34,34,3.32,34,N1,L4+7,control,C1_N1_D2,80857.812
15,0.195,34,4.243,31,37,6.641,68,N1,L4+7,control,C1_N1_D2,80857.812
16,0.098,30,0,30,30,2.93,30,N1,L4+7,control,C1_N1_D2,80857.812
17,3.223,37.636,4.827,30,46,121.289,1242,N1,L4+7,control,C1_N1_D2,80857.812
18,4.102,47.262,9.556,31,65,193.848,1985,N1,L4+7,control,C1_N1_D2,80857.812
19,0.488,38.2,5.975,31,45,18.652,191,N1,L4+7,control,C1_N1_D2,80857.812
20,0.195,49.5,7.778,44,55,9.668,99,N1,L4+7,control,C1_N1_D2,80857.812
21,0.098,34,0,34,34,3.32,34,N1,L4+7,control,C1_N1_D2,80857.812
22,0.098,34,0,34,34,3.32,34,N1,L4+7,control,C1_N1_D2,80857.812
23,0.195,41.5,12.021,33,50,8.105,83,N1,L4+7,control,C1_N1_D2,80857.812
24,0.195,32.5,0.707,32,33,6.348,65,N1,L4+7,control,C1_N1_D2,80857.812
25,0.391,40.25,6.801,31,47,15.723,161,N1,L4+7,control,C1_N1_D2,80857.812
26,0.879,42.111,7.457,30,56,37.012,379,N1,L4+7,control,C1_N1_D2,80857.812
27,0.391,37.5,7.594,30,48,14.648,150,N1,L4+7,control,C1_N1_D2,80857.812
28,4.102,47.095,9.748,30,66,193.164,1978,N1,L4+7,control,C1_N1_D2,80857.812
29,0.391,50.5,14.48,30,64,19.727,202,N1,L4+7,control,C1_N1_D2,80857.812
30,2.441,45.8,10.763,30,63,111.816,1145,N1,L4+7,control,C1_N1_D2,80857.812
31,0.391,48.5,13.229,32,63,18.945,194,N1,L4+7,control,C1_N1_D2,80857.812
32,0.098,40,0,40,40,3.906,40,N1,L4+7,control,C1_N1_D2,80857.812
33,0.098,38,0,38,38,3.711,38,N1,L4+7,control,C1_N1_D2,80857.812
34,0.195,32,2.828,30,34,6.25,64,N1,L4+7,control,C1_N1_D2,80857.812
35,1.855,49.211,9.175,30,66,91.309,935,N1,L4+7,control,C1_N1_D2,80857.812
36,0.098,31,0,31,31,3.027,31,N1,L4+7,control,C1_N1_D2,80857.812
37,0.391,41.25,10.996,30,56,16.113,165,N1,L4+7,control,C1_N1_D2,80857.812
38,2.344,43.875,8.858,35,66,102.832,1053,N1,L4+7,control,C1_N1_D2,80857.812
39,2.246,41.565,7.044,31,54,93.359,956,N1,L4+7,control,C1_N1_D2,80857.812
40,7.52,45.234,9.843,30,66,340.137,3483,N1,L4+7,control,C1_N1_D2,80857.812
41,1.953,42.35,7.989,30,55,82.715,847,N1,L4+7,control,C1_N1_D2,80857.812
42,0.098,32,0,32,32,3.125,32,N1,L4+7,control,C1_N1_D2,80857.812
43,0.879,46.333,8.544,35,56,40.723,417,N1,L4+7,control,C1_N1_D2,80857.812
