aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,1.855,40.842,12.755,30,65,75.781,776,N2,L4+14,mannitol,M2_N2_D3,75971.484
2,0.098,37,0,37,37,3.613,37,N2,L4+14,mannitol,M2_N2_D3,75971.484
3,0.391,44.75,7.719,37,54,17.48,179,N2,L4+14,mannitol,M2_N2_D3,75971.484
4,1.27,45,10.288,30,64,57.129,585,N2,L4+14,mannitol,M2_N2_D3,75971.484
5,0.488,36.2,3.701,32,41,17.676,181,N2,L4+14,mannitol,M2_N2_D3,75971.484
6,0.488,36.4,5.273,31,43,17.773,182,N2,L4+14,mannitol,M2_N2_D3,75971.484
7,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M2_N2_D3,75971.484
8,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M2_N2_D3,75971.484
9,0.488,41.6,11.803,30,59,20.312,208,N2,L4+14,mannitol,M2_N2_D3,75971.484
10,0.879,51.444,10.864,33,65,45.215,463,N2,L4+14,mannitol,M2_N2_D3,75971.484
11,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M2_N2_D3,75971.484
12,0.195,56,0,56,56,10.938,112,N2,L4+14,mannitol,M2_N2_D3,75971.484
13,0.293,31,1,30,32,9.082,93,N2,L4+14,mannitol,M2_N2_D3,75971.484
14,2.246,42.565,8.691,31,62,95.605,979,N2,L4+14,mannitol,M2_N2_D3,75971.484
15,0.684,46.571,9.964,35,66,31.836,326,N2,L4+14,mannitol,M2_N2_D3,75971.484
16,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M2_N2_D3,75971.484
17,0.098,37,0,37,37,3.613,37,N2,L4+14,mannitol,M2_N2_D3,75971.484
18,0.195,57.5,6.364,53,62,11.23,115,N2,L4+14,mannitol,M2_N2_D3,75971.484
19,0.293,48.333,11.676,38,61,14.16,145,N2,L4+14,mannitol,M2_N2_D3,75971.484
20,0.293,37,4.583,33,42,10.84,111,N2,L4+14,mannitol,M2_N2_D3,75971.484
