aggr_num,aagr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,41054.883
2,0.195,37.5,0.707,37,38,7.324,75,N3,L4+1,control,C3_N3_D1,41054.883
3,0.781,47.25,10.195,31,64,36.914,378,N3,L4+1,control,C3_N3_D1,41054.883
4,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
5,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
6,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
7,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
8,0.293,32,2,30,34,9.375,96,N3,L4+1,control,C3_N3_D1,41054.883
9,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
10,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
11,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
12,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
13,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
14,0.195,36,1.414,35,37,7.031,72,N3,L4+1,control,C3_N3_D1,41054.883
15,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
16,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
17,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
18,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
19,0.195,36.5,3.536,34,39,7.129,73,N3,L4+1,control,C3_N3_D1,41054.883
20,0.293,38,6.245,33,45,11.133,114,N3,L4+1,control,C3_N3_D1,41054.883
21,0.879,39.111,7.639,30,57,34.375,352,N3,L4+1,control,C3_N3_D1,41054.883
22,0.195,52.5,9.192,46,59,10.254,105,N3,L4+1,control,C3_N3_D1,41054.883
23,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
24,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
25,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
26,0.391,32,2.16,30,35,12.5,128,N3,L4+1,control,C3_N3_D1,41054.883
27,0.488,32.8,2.683,30,37,16.016,164,N3,L4+1,control,C3_N3_D1,41054.883
28,0.586,33.5,3.619,30,40,19.629,201,N3,L4+1,control,C3_N3_D1,41054.883
29,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
30,0.195,30.5,0.707,30,31,5.957,61,N3,L4+1,control,C3_N3_D1,41054.883
31,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
32,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
33,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
34,0.488,33.2,4.658,30,41,16.211,166,N3,L4+1,control,C3_N3_D1,41054.883
35,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
36,0.781,37.75,9.036,30,56,29.492,302,N3,L4+1,control,C3_N3_D1,41054.883
37,0.586,50,11.045,34,65,29.297,300,N3,L4+1,control,C3_N3_D1,41054.883
38,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
39,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
