aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.977,9.3,5.716,2,21,9.082,93,N3,L4+14,control,C3_N3_D3,79911.523
2,0.098,2,0,2,2,0.195,2,N3,L4+14,control,C3_N3_D3,79911.523
3,0.488,10.8,8.379,3,25,5.273,54,N3,L4+14,control,C3_N3_D3,79911.523
4,0.977,12.2,8.929,4,29,11.914,122,N3,L4+14,control,C3_N3_D3,79911.523
5,0.391,5.25,0.5,5,6,2.051,21,N3,L4+14,control,C3_N3_D3,79911.523
6,0.195,3,1.414,2,4,0.586,6,N3,L4+14,control,C3_N3_D3,79911.523
7,0.879,6.667,3.969,2,14,5.859,60,N3,L4+14,control,C3_N3_D3,79911.523
8,0.684,5,2.828,2,9,3.418,35,N3,L4+14,control,C3_N3_D3,79911.523
9,0.098,2,0,2,2,0.195,2,N3,L4+14,control,C3_N3_D3,79911.523
10,0.293,3,1,2,4,0.879,9,N3,L4+14,control,C3_N3_D3,79911.523
11,0.293,2.333,0.577,2,3,0.684,7,N3,L4+14,control,C3_N3_D3,79911.523
12,0.098,5,0,5,5,0.488,5,N3,L4+14,control,C3_N3_D3,79911.523
13,3.223,11.242,8.024,3,31,36.23,371,N3,L4+14,control,C3_N3_D3,79911.523
14,0.391,5,2.16,3,8,1.953,20,N3,L4+14,control,C3_N3_D3,79911.523
15,0.098,2,0,2,2,0.195,2,N3,L4+14,control,C3_N3_D3,79911.523
16,0.391,4,1.826,2,6,1.562,16,N3,L4+14,control,C3_N3_D3,79911.523
17,0.098,2,0,2,2,0.195,2,N3,L4+14,control,C3_N3_D3,79911.523
18,0.098,2,0,2,2,0.195,2,N3,L4+14,control,C3_N3_D3,79911.523
19,0.293,4.333,2.082,2,6,1.27,13,N3,L4+14,control,C3_N3_D3,79911.523
20,0.098,3,0,3,3,0.293,3,N3,L4+14,control,C3_N3_D3,79911.523
21,0.098,3,0,3,3,0.293,3,N3,L4+14,control,C3_N3_D3,79911.523
22,0.098,3,0,3,3,0.293,3,N3,L4+14,control,C3_N3_D3,79911.523
23,0.098,3,0,3,3,0.293,3,N3,L4+14,control,C3_N3_D3,79911.523
