aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,worm_ID,worm_area
1,0.391,40.25,6.994,31,47,15.723,161,N2,L4+14,mannitol,M3_N2_D3,78159.668
2,0.195,54,16.971,42,66,10.547,108,N2,L4+14,mannitol,M3_N2_D3,78159.668
3,0.098,49,0,49,49,4.785,49,N2,L4+14,mannitol,M3_N2_D3,78159.668
4,0.098,45,0,45,45,4.395,45,N2,L4+14,mannitol,M3_N2_D3,78159.668
5,0.098,36,0,36,36,3.516,36,N2,L4+14,mannitol,M3_N2_D3,78159.668
6,0.977,47.2,12.007,33,64,46.094,472,N2,L4+14,mannitol,M3_N2_D3,78159.668
7,0.391,38.75,5.56,35,47,15.137,155,N2,L4+14,mannitol,M3_N2_D3,78159.668
8,0.195,40,0,40,40,7.812,80,N2,L4+14,mannitol,M3_N2_D3,78159.668
9,0.195,40.5,7.778,35,46,7.91,81,N2,L4+14,mannitol,M3_N2_D3,78159.668
10,0.195,48.5,7.778,43,54,9.473,97,N2,L4+14,mannitol,M3_N2_D3,78159.668
11,0.195,37.5,0.707,37,38,7.324,75,N2,L4+14,mannitol,M3_N2_D3,78159.668
12,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
13,0.488,36.6,9.99,30,54,17.871,183,N2,L4+14,mannitol,M3_N2_D3,78159.668
14,0.098,34,0,34,34,3.32,34,N2,L4+14,mannitol,M3_N2_D3,78159.668
15,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M3_N2_D3,78159.668
16,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
17,0.684,41.857,8.214,32,53,28.613,293,N2,L4+14,mannitol,M3_N2_D3,78159.668
18,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
19,0.195,34,2.828,32,36,6.641,68,N2,L4+14,mannitol,M3_N2_D3,78159.668
20,0.195,30.5,0.707,30,31,5.957,61,N2,L4+14,mannitol,M3_N2_D3,78159.668
21,0.586,44.833,13.906,30,61,26.27,269,N2,L4+14,mannitol,M3_N2_D3,78159.668
22,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M3_N2_D3,78159.668
