aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.293,38,7,31,45,11.133,114,N3,L4+14,mannitol,M3_N3_D3,96421.582
2,0.977,49.8,12.291,30,67,48.633,498,N3,L4+14,mannitol,M3_N3_D3,96421.582
3,0.098,30,0,30,30,2.93,30,N3,L4+14,mannitol,M3_N3_D3,96421.582
4,0.391,35.25,2.062,33,38,13.77,141,N3,L4+14,mannitol,M3_N3_D3,96421.582
5,0.684,48.143,13.533,32,63,32.91,337,N3,L4+14,mannitol,M3_N3_D3,96421.582
6,0.781,38.75,5.339,31,45,30.273,310,N3,L4+14,mannitol,M3_N3_D3,96421.582
7,0.098,34,0,34,34,3.32,34,N3,L4+14,mannitol,M3_N3_D3,96421.582
8,0.391,35.25,4.349,31,41,13.77,141,N3,L4+14,mannitol,M3_N3_D3,96421.582
9,0.586,37.5,6.686,30,48,21.973,225,N3,L4+14,mannitol,M3_N3_D3,96421.582
10,1.562,42.125,8.951,30,57,65.82,674,N3,L4+14,mannitol,M3_N3_D3,96421.582
11,1.27,40.692,7.952,30,52,51.66,529,N3,L4+14,mannitol,M3_N3_D3,96421.582
12,0.586,40.333,6.919,31,49,23.633,242,N3,L4+14,mannitol,M3_N3_D3,96421.582
13,0.098,31,0,31,31,3.027,31,N3,L4+14,mannitol,M3_N3_D3,96421.582
14,0.195,48.5,20.506,34,63,9.473,97,N3,L4+14,mannitol,M3_N3_D3,96421.582
15,0.195,39,5.657,35,43,7.617,78,N3,L4+14,mannitol,M3_N3_D3,96421.582
16,1.074,48.636,14.144,33,70,52.246,535,N3,L4+14,mannitol,M3_N3_D3,96421.582
17,0.098,46,0,46,46,4.492,46,N3,L4+14,mannitol,M3_N3_D3,96421.582
18,1.27,39.231,7.108,30,49,49.805,510,N3,L4+14,mannitol,M3_N3_D3,96421.582
19,0.195,42,2.828,40,44,8.203,84,N3,L4+14,mannitol,M3_N3_D3,96421.582
20,0.195,47,4.243,44,50,9.18,94,N3,L4+14,mannitol,M3_N3_D3,96421.582
21,1.074,44.909,8.814,34,61,48.242,494,N3,L4+14,mannitol,M3_N3_D3,96421.582
22,0.586,47.667,11.673,32,68,27.93,286,N3,L4+14,mannitol,M3_N3_D3,96421.582
23,0.195,30.5,0.707,30,31,5.957,61,N3,L4+14,mannitol,M3_N3_D3,96421.582
24,0.195,45,12.728,36,54,8.789,90,N3,L4+14,mannitol,M3_N3_D3,96421.582
25,0.098,32,0,32,32,3.125,32,N3,L4+14,mannitol,M3_N3_D3,96421.582
